label,retention,f_spatial,f_causal,gini_dsr,gini_asr,n_removed
raw,1.0,0.10342705994844437,0.7987951040267944,0.8980926275253296,0.8950532674789429,0
filter@100,0.9989506490235789,0.10352633893489838,0.7987951040267944,0.8978941440582275,0.8950532674789429,100
filter@500,0.9947532451178945,0.10379628092050552,0.7983906269073486,0.897354245185852,0.8950532674789429,500
filter@1000,0.9895064902357892,0.10416684299707413,0.7979391813278198,0.8966131210327148,0.8950532674789429,1000
filter@5000,0.9742384335288624,0.10461471229791641,0.7935391664505005,0.8957173824310303,0.8950532674789429,2455
edit,1.0,0.1095389723777771,0.8213561773300171,0.8860784769058228,0.8948436379432678,0
