step,loss
0,-0.018366390839219093
1,-0.0026477761566638947
2,-0.013733116909861565
3,-0.010136022232472897
4,-0.002538324100896716
5,0.0032807854004204273
6,0.010139942169189453
7,-0.022558454424142838
8,-0.017190326005220413
9,0.00447061937302351
10,-0.014628473669290543
11,0.015708208084106445
12,0.01971394568681717
13,-0.009510131552815437
14,0.02294611930847168
15,0.020158234983682632
16,-0.03142979368567467
17,0.060891903936862946
18,-0.04414922371506691
19,-0.1552404761314392
20,-0.1547331064939499
21,-0.08494682610034943
22,-0.11181345582008362
23,-0.10982678830623627
24,-0.32240772247314453
25,-0.25675973296165466
26,-0.39535385370254517
27,-0.2828770577907562
28,-0.3858538866043091
29,-0.3015163242816925
30,-0.16730955243110657
31,-0.2345789670944214
32,-0.057293593883514404
33,-0.28665417432785034
34,-0.4318664073944092
35,-0.1104033812880516
36,-0.13333994150161743
37,-0.025374986231327057
38,-0.3061026930809021
39,-0.33944860100746155
40,-0.20610958337783813
41,-0.15637962520122528
42,-0.23040741682052612
43,-0.4398309290409088
44,-0.38696765899658203
45,-0.4847062826156616
46,-0.5463875532150269
47,-0.5952037572860718
48,-0.4945380389690399
49,-0.034988973289728165
50,-0.5419811010360718
51,-0.38176319003105164
52,-0.6503849029541016
53,-0.6181843876838684
54,-0.7566945552825928
55,-0.5192068815231323
56,-0.5566437244415283
57,-0.4964277148246765
58,-0.7978219985961914
59,-0.6028832197189331
60,-0.8965635299682617
61,-0.9017027616500854
62,-0.7123565673828125
63,-0.8410380482673645
64,-0.6473013758659363
65,-0.7470187544822693
66,-0.8454126119613647
67,-0.8662376403808594
68,-0.9028319120407104
69,-0.8824911117553711
70,-0.8734388947486877
71,-1.1999626159667969
72,-1.104825496673584
73,-1.281160593032837
74,-1.2054380178451538
75,-1.2573723793029785
76,-1.1751489639282227
77,-1.5632774829864502
78,-1.6897730827331543
79,-1.5163910388946533
80,-1.1706773042678833
81,-1.1350963115692139
82,-1.2080994844436646
83,-1.098551869392395
84,-1.4386370182037354
85,-1.1633490324020386
86,-1.3435615301132202
87,-1.4861857891082764
88,-1.6118406057357788
89,-1.068590521812439
90,-1.2628262042999268
91,-1.3170769214630127
92,-1.2157496213912964
93,-1.177611231803894
94,-1.5709275007247925
95,-1.2344064712524414
96,-1.1047884225845337
97,-1.2988686561584473
98,-1.3227192163467407
99,-1.163922667503357
100,-1.054410457611084
101,-1.1713285446166992
102,-1.1926087141036987
103,-1.2394574880599976
104,-1.1486986875534058
105,-1.0512897968292236
106,-1.2731151580810547
107,-1.2033323049545288
108,-0.9839571714401245
109,-1.1794145107269287
110,-0.868360161781311
111,-0.8863641023635864
112,-1.4756284952163696
113,-1.2596725225448608
114,-0.7331103086471558
115,-0.8737080097198486
116,-1.168081521987915
117,-1.3824719190597534
118,-0.9814823865890503
119,-0.7151777744293213
120,-1.020555019378662
121,-1.021883487701416
122,-0.9326671361923218
123,-1.2850053310394287
124,-0.9965206980705261
