step,loss
0,-0.08167032897472382
1,-0.1032416820526123
2,-0.11296981573104858
3,-0.11078262329101562
4,-0.11806594580411911
5,-0.1341755986213684
6,-0.1509767770767212
7,-0.18860694766044617
8,-0.20658665895462036
9,-0.21054084599018097
10,-0.20156070590019226
11,-0.23660880327224731
12,-0.2348259687423706
13,-0.25553521513938904
14,-0.28770381212234497
15,-0.40469372272491455
16,-0.4863106608390808
17,-0.38397669792175293
18,-0.3398510217666626
19,-0.4844173789024353
20,-0.6776890754699707
21,-0.816162109375
22,-0.7495818138122559
23,-0.7236910462379456
24,-0.7976391315460205
25,-0.8132526874542236
26,-0.8639248013496399
27,-0.8109777569770813
28,-1.1297898292541504
29,-0.9559253454208374
30,-0.7393934726715088
31,-0.9739049673080444
32,-0.7935371994972229
33,-1.0554394721984863
34,-1.0358818769454956
35,-0.9084794521331787
36,-0.9606636166572571
37,-0.9729572534561157
38,-1.2474474906921387
39,-1.223931074142456
40,-1.1759204864501953
41,-1.3243781328201294
42,-1.1505271196365356
43,-1.2649894952774048
44,-1.4425175189971924
45,-1.1567027568817139
46,-1.3518871068954468
47,-1.2330313920974731
48,-1.8290425539016724
49,-1.4713425636291504
50,-1.4819989204406738
51,-1.654669165611267
52,-1.7717335224151611
53,-1.5079987049102783
54,-1.7578356266021729
55,-1.791874647140503
56,-1.5791504383087158
57,-1.7848116159439087
58,-1.5070717334747314
59,-1.9329588413238525
60,-1.9317686557769775
61,-1.5239089727401733
62,-2.056020736694336
63,-1.9848606586456299
64,-1.8257267475128174
65,-2.043759822845459
66,-1.6473157405853271
67,-2.33530855178833
68,-2.021491527557373
69,-2.081925630569458
70,-1.7179145812988281
71,-1.8236206769943237
72,-1.7427856922149658
73,-1.5800164937973022
74,-1.8917193412780762
75,-1.955049753189087
76,-2.4571831226348877
77,-1.5847976207733154
78,-1.4096293449401855
79,-1.4439198970794678
80,-1.275862693786621
81,-1.1063505411148071
82,-1.4739670753479004
83,-1.3635270595550537
84,-1.5892930030822754
85,-1.483283519744873
86,-1.6394165754318237
87,-1.1949348449707031
88,-1.126575231552124
89,-1.3840296268463135
90,-1.4694623947143555
91,-0.6584048867225647
92,-0.7291643023490906
93,-0.9378010034561157
94,-1.0365986824035645
95,-1.5601887702941895
96,-0.9974442720413208
97,-1.386831283569336
98,-1.5891902446746826
99,-1.8511850833892822
100,-0.9261002540588379
101,-0.6128480434417725
102,-1.6681764125823975
103,-1.152174472808838
104,-0.6800962686538696
105,-0.9627667665481567
106,-0.8247127532958984
107,-0.6475042104721069
108,-1.504429817199707
109,-0.937434196472168
110,-0.5374589562416077
111,-0.3456430733203888
112,-0.8545002341270447
113,-0.5683186650276184
114,-1.1216709613800049
115,-0.5364203453063965
116,-0.8151201009750366
117,-0.6547540426254272
118,-1.0450984239578247
119,-1.1124229431152344
120,-0.7534477710723877
121,-0.7889454364776611
122,-0.29631510376930237
123,-0.8283500671386719
124,-0.7901437282562256
125,-0.47233831882476807
126,-0.5506375432014465
127,-1.0539284944534302
128,-1.0266836881637573
